anche,also|even
ancora,still|yet
C'e,there is
che,that
Completato,completed
conoscenza,knowledge
da,to
del loro,of their
Di,of
doni,gifts
Dragone,dragon
E,and
Elfi,elves
Fa,gives
finito,finished
futuri,future
giovani,young
gli,the
Hai|Tu hai,you have
Incarico,assignment
insegnamenti,teachings
la,the
lavoro,work
maestri,teachers|masters
Merita,deserves
Mi,me
Migliore,the best
molto,a lot|much
non è,is not
non solo,not only
ogni,each
ogni modo,anyway
Plauso,praise
Primo,first
quei,those
Questo,this
qui,here
ricompensati,rewarded
rivelerai,reveal oneself|reveal
Sangue,blood
saranno,will
Scegli,choose
seguono,follow
sperare,hope
solo,only|alone|single|solo
Successo,successfully|success
successi,successes
tangibili,tangible
Ti,you
Tu hai|hai,you have
Tua|Tuo|Tuoi,your
Tuo|Tua|Tuoi,your
tuoi|Tuo|Tua,your
Un,a
