affrontare,facing|confronting|addressing
agito,done
anche,even|also
aree,areas
attendono,await
bene,well
buon,good
circostanti,surrounding
darci,give us|giving us
Di certo,of course
dovrebbero,they should|should
erranti,errant|wandering
farai,do|make
grandi,greater|larger|large
lungo,long|lengthy
minacce,threats|threat
ne,they
periodo,period|time|term
poco|po,little|some|bit|short
po|poco,little|some|bit|short
Prendi,you take
relativamente,relatively
se,if
sicurezza,security|safety
sicure,secure|safe
significhera,will mean|signify
sopravvivere,survive
ti attendono,await you|waiting for you
uso,use
vogliamo,we want to|we want
