ti attendono,await you|waiting for you
Addrestramento,Training
Approfittare,take advantage|profit
Avanzi,progress|advance|proceed|go forward
Cacciatore,hunter
Cacciatori,hunters
Classe,class
Come,like|how|what
Come|quale,what|how|like
Costo,cost
Guardaboschi,gamekeeper|forrester
Impartire,impart
Importante,important
Inferiore,inferior|lower|lesser|junior
In serbo,in store
Insegnamenti,teachings
Istruttore|istruttrice,instructor
Istruttori,instructors
Istruttrice|Istruttore,instructor
Lei,her
Man,as
Man che avanzi,as you progress|as you advance
Monete,coins|money|cash
Parla,talk
Porta,take|bring
Quale|come,what
Qui,here
Serbo,store|lay aside
Sull,on the|on
Tipo,type|kind
Trova,located|find|search
